"name","size"
"typeB_gumma_2020_11.zip", 479.83M
"typeB_hakodate_2020_11.zip", 225.52M
"typeB_ibaraki_2020_11.zip", 769.61M
"typeB_ishikawa_2020_11.zip", 335.04M
"typeB_iwate_2020_11.zip", 630.41M
"typeB_kanagawa_2020_11.zip",   1.49G
"typeB_kitami_2020_11.zip", 180.68M
"typeB_kushiro_2020_11.zip", 296.8M
"typeB_miyagi_2020_11.zip", 541.24M
"typeB_nagano_2020_11.zip", 667.9M
"typeB_niigata_2020_11.zip", 520M
"typeB_saitama_2020_11.zip", 688.98M
"typeB_sapporo_2020_11.zip",   1.07G
"typeB_tochigi_2020_11.zip", 146.06M
"typeB_tokyo_2020_11.zip",   1.11G
"typeB_toyama_2020_11.zip", 374.29M
"typeB_yamagata_2020_11.zip", 349.43M
"typeB_yamanashi_2020_11.zip",  98.56M
"typeB_aichi_2020_11.zip", 346.31M
"typeB_shizuoka_2020_11.zip", 311.76M
"typeB_ehime_2020_11.zip", 386.06M
"typeB_fukuoka_2020_11.zip",   1.2G
"typeB_hiroshima_2020_11.zip", 176.41M
"typeB_hyogo_2020_11.zip", 477.55M
"typeB_kagawa_2020_11.zip", 166.49M
"typeB_kagoshima_2020_11.zip", 437.56M
"typeB_kochi_2020_11.zip", 254.75M
"typeB_kumamoto_2020_11.zip", 566.11M
"typeB_kyoto_2020_11.zip", 577.09M
"typeB_mie_2020_11.zip", 220.29M
"typeB_miyazaki_2020_11.zip", 372.16M
"typeB_nagasaki_2020_11.zip", 127.47M
"typeB_nara_2020_11.zip", 725.47M
"typeB_oita_2020_11.zip", 358.54M
"typeB_okayama_2020_11.zip", 217.59M
"typeB_okinawa_2020_11.zip", 336.01M
"typeB_osaka_2020_11.zip",   1.08G
"typeB_saga_2020_11.zip", 173.01M
"typeB_shiga_2020_11.zip", 274.69M
"typeB_shimane_2020_11.zip", 234.21M
"typeB_tokushima_2020_11.zip", 157.76M
"typeB_tottori_2020_11.zip", 277.46M
"typeB_wakayama_2020_11.zip", 319.85M
"typeB_yamaguchi_2020_11.zip", 173.67M
"typeB_oita_2020_10.zip", 369.88M
"typeB_fukuoka_2020_10.zip",   1.24G
"typeB_kochi_2020_10.zip", 264.7M
"typeB_ehime_2020_10.zip", 400.21M
"typeB_kagawa_2020_10.zip", 172.63M
"typeB_tokushima_2020_10.zip", 164.41M
"typeB_yamaguchi_2020_10.zip", 180.43M
"typeB_akita_2020_12.zip", 102.28M
"typeB_aomori_2020_12.zip", 428.61M
"typeB_asahikawa_2020_12.zip", 268.87M
"typeB_hakodate_2020_12.zip", 230.91M
"typeB_iwate_2020_12.zip", 654.04M
"typeB_kitami_2020_12.zip", 187.77M
"typeB_kushiro_2020_12.zip", 307.61M
"typeB_miyagi_2020_12.zip", 560.39M
"typeB_sapporo_2020_12.zip",   1.1G
"typeB_fukushima_2020_12.zip", 294.14M
"typeB_ibaraki_2020_12.zip", 797.97M
"typeB_tochigi_2020_12.zip", 148.92M
"typeB_aichi_2020_12.zip", 356.88M
"typeB_chiba_2020_12.zip", 663.85M
"typeB_ehime_2020_12.zip", 397.89M
"typeB_fukui_2020_12.zip", 240.66M
"typeB_fukuoka_2020_12.zip",   1.22G
"typeB_gifu_2020_12.zip", 161.02M
